t_real, tv, d_tv, e_p_x, e_p_y,e_p_z, e_o_x, e_o_y, e_o_z, e_v_lin_x, e_v_lin_y, e_v_lin_z, e_v_ang_x, e_v_ang_y, e_v_ang_z,W_0x, W_0y, W_0z,  W_1x, W_1y, W_1z,  W_2x, W_2y, W_2z,  W_3x, W_3y, W_3z,p_c_x, p_c_y, p_c_z,p_d_x, p_d_y, p_d_z,prob0, prob1, prob2, prob3 
0.034,0.0339553,0.99628,0.00684382,4.26772e-05,0.000477977,-0.0149308,-0.000819367,0.0104736,0.191233,0.00380614,0.028077,-0.340319,-0.0104777,0.263573,35.1426,35.1426,35,35.1426,35.1426,35,35.1307,35.1307,35,35.1426,35.1426,35,0.076618,-0.0220902,0.357633,0.0697742,-0.0221329,0.357155,0.9604,0.9604,0.9604,0.9604
0.036,0.0359472,0.995943,0.00724643,4.26772e-05,0.000535841,-0.015903,-0.000849458,0.0112268,0.201306,0,0.0289319,-0.350033,-0.00484669,-0.000112237,35.1544,35.1544,35,35.1544,35.1544,35,35.1426,35.1426,35,35.1544,35.1544,35,0.076618,-0.0220902,0.357633,0.0693716,-0.0221329,0.357097,0.9604,0.9604,0.9604,0.9604
0.038,0.0379384,0.995607,0.00762332,5.08108e-05,0.000598388,-0.0169031,-0.000857689,0.0112268,0.188442,0.00406681,0.0312736,-0.335074,-0.0106764,0.248778,35.1663,35.1663,35,35.1663,35.1663,35,35.1544,35.1544,35,35.1663,35.1663,35,0.0765929,-0.0220821,0.357634,0.0689696,-0.0221329,0.357036,0.9604,0.9604,0.9604,0.9604
0.04,0.039929,0.99527,0.00802466,5.08108e-05,0.000662749,-0.0178604,-0.000888472,0.0119378,0.200673,0,0.0321803,-0.349705,-0.00509089,-0.000117921,35.1782,35.1782,35,35.1782,35.1782,35,35.1663,35.1663,35,35.1782,35.1782,35,0.0765929,-0.0220821,0.357634,0.0685683,-0.0221329,0.356971,0.9604,0.9604,0.9604,0.9604
0.042,0.0419188,0.994934,0.00839591,5.93602e-05,0.000731587,-0.0188596,-0.000897051,0.0119378,0.185625,0.00427469,0.034419,-0.332376,-0.011459,0.234666,35.1901,35.1901,35,35.1901,35.1901,35,35.1782,35.1782,35,35.1901,35.1901,35,0.0765635,-0.0220735,0.357635,0.0681676,-0.0221329,0.356904,0.9604,0.9604,0.9604,0.9604
0.044,0.043908,0.994598,0.00879589,5.93602e-05,0.000802414,-0.0198091,-0.000930111,0.0126084,0.199989,0,0.0354136,-0.349368,-0.0053204,-0.000124189,35.202,35.202,35,35.202,35.202,35,35.1901,35.1901,35,35.202,35.202,35,0.0765635,-0.0220735,0.357635,0.0677676,-0.0221329,0.356833,0.9604,0.9604,0.9604,0.9604
0.046,0.0458965,0.994263,0.00913999,7.3541e-05,0.000877934,-0.0208074,-0.000939016,0.0126084,0.172048,0.00709038,0.03776,-0.319794,-0.0170574,0.343454,35.2138,35.2138,35,35.2138,35.2138,35,35.202,35.202,35,35.2138,35.2138,35,0.0765083,-0.0220594,0.357637,0.0673684,-0.0221329,0.356759,0.9604,0.9604,0.9604,0.9604
0.048,0.0478844,0.993927,0.0094981,8.28742e-05,0.000955776,-0.021721,-0.000991711,0.0135896,0.179059,0.00466661,0.038921,-0.329466,-0.014271,0.20125,35.2257,35.2257,35,35.2257,35.2257,35,35.2138,35.2138,35,35.2257,35.2257,35,0.076468,-0.02205,0.357637,0.0669699,-0.0221329,0.356682,0.9604,0.9604,0.9604,0.9604
0.05,0.0498716,0.993592,0.00985128,9.24233e-05,0.00103651,-0.0226623,-0.00103205,0.0141646,0.176588,0.00477457,0.0403652,-0.328617,-0.0155391,0.189412,35.2376,35.2376,35,35.2376,35.2376,35,35.2257,35.2257,35,35.2376,35.2376,35,0.0764234,-0.0220405,0.357638,0.0665721,-0.0221329,0.356601,0.9604,0.9604,0.9604,0.9604
0.052,0.0518581,0.993257,0.0102482,9.24233e-05,0.00112017,-0.0236012,-0.00107566,0.0147058,0.198465,0,0.0418318,-0.348663,-0.00604158,-0.00015426,35.2495,35.2495,35,35.2495,35.2495,35,35.2376,35.2376,35,35.2495,35.2495,35,0.0763746,-0.0220307,0.357638,0.0661752,-0.0221329,0.356517,0.9604,0.9604,0.9604,0.9604
